economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,193685055,0.168433106,1,29,2,4,1,,1,1,1,1,2,2,,,1,1,2,,,,1,1,1,,,,,,1,2,,,,,,,,,,,,,,,,1,1,2,1,1,1,,1,1,1,1,1,,1,1,1,2,2,2,2,,3,1,1,1,1,,,1,1,,,1,1,1,1,,,1,1,1,1,,,2,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,0,1,4,4,4,1,1,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,204810361,0.388625434,1,30,2,3,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,2,1,1,1,1,,,,,,,,,,,2,,,2,1,2,,,,2,2,,2,1,2,1,,2,1,2,1,2,1,2,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,2,1,1,4,1,,1,1,4,4,4,4,2,3,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,186418765,1.275574978,2,45,2,5,1,,1,1,0,1,2,1,1,2,2,2,1,2,,1,1,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,2,3,2,1,1,,,1,1,,,1,1,1,1,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,0,2,4,4,4,1,1,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,141041364,2.411808462,1,51,1,2,2,,1,1,1,2,2,1,2,,2,2,2,,,,1,2,1,,,,,,2,2,,,,,,,,,,,,,,,,2,2,2,2,2,,,1,2,2,,,,2,2,2,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,1,1,,,2,,,,,,1,1,1,1,2,1,,0,0,4,1,4,4,4,5,1,2,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,140860849,0.419661465,1,43,3,5,2,,1,1,0,1,1,1,1,1,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,1,,1,2,1,2,1,,1,1,,2,2,2,2,,1,3,3,1,1,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,1,,1,1,2,2,1,,3,3,3,3,,3,,1,0,4,2,4,2,4,1,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,148373812,0.410569326,1,20,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,1,2,2,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,1,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,2,1,,1,1,4,3,4,4,2,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,135694253,0.94922025,2,46,2,3,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,1,2,2,1,1,1,2,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,1,,2,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,3,1,,1,1,4,4,4,4,2,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,114905509,0.334116031,2,25,2,3,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,,,,,,,2,,,2,2,1,2,1,,2,2,,2,2,2,2,,2,1,1,2,,,,1,2,2,1,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,2,1,,0,0,4,4,4,4,3,2,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,162526260,1.391664366,1,33,1,4,1,,1,1,0,2,1,2,,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,2,1,2,,,,2,2,,2,2,2,1,,1,1,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,5,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,165725710,0.653852651,1,30,3,5,2,,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,1,1,2,1,1,2,,1,2,1,2,1,,2,1,1,2,2,2,2,,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,1,,2,,,,,,1,1,2,2,2,1,,1,1,4,2,4,4,4,5,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,205481621,0.351318463,1,49,3,5,1,,1,1,0,2,2,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,2,,2,2,2,,,,1,1,,2,2,2,2,,3,2,1,1,1,,,1,2,1,1,1,2,2,,,1,2,,,,,,,1,2,2,2,2,2,1,2,1,2,,,1,1,1,1,2,1,,1,1,4,3,4,1,2,1,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,128639583,0.525773377,1,18,2,1,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,1,2,1,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,1,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,0,4,4,4,4,2,5,1,2,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,192458102,0.315653376,2,29,3,5,1,,1,1,1,2,2,1,1,1,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,1,1,2,1,2,1,,1,1,1,2,1,,1,1,1,2,2,2,2,,1,3,3,2,,,,1,1,,,2,,,,,,1,1,2,2,1,,,2,2,,,,,2,,,,,,2,2,3,3,1,2,,1,0,2,4,4,4,4,1,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,157461260,2.268155425,1,43,1,3,1,,1,1,0,2,2,1,1,1,2,2,1,2,,2,1,1,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,1,1,,2,2,1,2,1,,2,1,,2,2,2,2,,1,1,1,2,,,,1,2,2,1,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,0,4,4,4,4,2,2,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,113011060,2.178578995,1,38,1,1,1,,1,1,0,,,1,2,,2,1,2,,,,1,2,1,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,6,1,1,1,2,1,2,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,2,1,3,3,1,,1,1,2,4,4,4,4,3,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,113813514,1.419820886,2,17,1,3,2,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,,,1,1,1,2,1,,2,2,,2,2,2,1,,2,2,2,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,2,2,3,2,1,,0,1,4,4,4,2,2,3,1,2,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,192065365,1.002348093,2,25,2,5,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,,,,,,,,,,,2,,,2,1,1,2,1,,1,2,,2,1,2,1,,3,2,1,1,2,1,1,2,,,,1,2,2,,,1,1,2,2,2,1,,,1,2,2,2,1,,1,1,2,2,1,,2,2,2,2,2,1,,1,1,2,2,4,2,2,2,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,173710736,0.381975133,2,26,2,4,1,,1,1,0,1,1,1,2,,2,2,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,3,1,2,2,1,1,2,1,1,1,2,2,,,1,1,1,1,2,,,2,1,1,1,2,,,1,1,2,2,1,,2,2,2,2,1,1,,0,0,1,1,1,2,2,2,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,206108427,3.59034182,2,62,1,2,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,2,,0,0,4,4,4,4,2,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,148015510,0.75180806,2,29,2,2,2,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,,,,,,,,,,,2,,,2,1,1,2,1,,2,2,,2,1,1,1,,2,1,1,1,2,1,1,1,2,1,2,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,2,1,,0,1,4,4,4,4,3,2,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,160789931,0.579036074,2,54,3,5,1,,1,1,0,,,2,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,,,,,,,,,,,2,,,1,2,1,2,1,,1,2,2,2,2,2,2,,1,2,2,2,,,,2,,,,1,2,2,,,1,1,1,1,2,,,1,1,2,1,2,,,2,,,,,,2,2,2,2,2,2,,1,0,1,1,4,4,2,5,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,181208790,0.28709786,2,24,2,3,1,,1,1,1,,,1,2,,1,1,2,,,,1,2,1,,,,,,2,1,,,,,,,,,,,,,,,,2,1,2,2,2,,,2,1,2,,,,1,2,2,2,2,2,1,,4,1,2,1,2,2,1,1,2,1,1,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,2,2,1,,1,1,2,4,4,4,2,2,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,118115046,0.343320333,1,30,3,4,1,,1,1,0,1,1,1,2,,2,1,2,,,,1,1,1,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,1,3,3,1,2,1,1,2,,,,1,2,2,,,1,1,1,1,2,,,2,2,2,,,,,2,,,,,,3,2,3,3,,2,,1,0,1,4,4,4,2,2,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,201506350,1.34700598,1,51,2,3,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,1,2,1,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,1,1,,0,0,4,3,4,4,4,5,2,2,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,190224661,0.422106618,1,30,2,5,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,1,2,1,,,,,,,,,,,2,,,2,1,1,2,1,,2,2,2,2,1,2,1,,2,2,1,1,2,2,2,1,2,2,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,1,,1,1,4,4,4,4,4,4,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,154779930,0.434304201,2,46,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,1,3,1,,0,0,4,4,4,2,2,5,1,2,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,114513529,0.330393101,1,41,2,3,1,,1,1,0,2,2,1,2,,1,2,2,,,,1,2,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,2,,,2,2,1,2,1,,1,1,,2,2,2,1,,2,2,1,1,2,2,1,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,3,3,1,2,,1,1,4,4,4,2,4,2,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,142170015,3.59034182,2,41,1,2,2,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,1,2,1,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,1,2,1,,4,1,1,2,,,,1,2,2,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,4,2,,1,1,4,4,4,4,2,4,2,2,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,189948294,3.466896947,1,15,1,4,2,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,,,,,,,2,,,2,2,1,1,1,,1,2,,2,1,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,2,2,2,,1,1,4,4,4,4,4,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,112818601,1.818676533,2,28,2,4,1,,1,1,1,1,2,2,,,1,1,2,,,,1,2,2,,,,,,,1,,,,,,,,,,,,,,,,1,2,2,1,2,,,2,1,2,,,,2,2,2,2,2,2,2,,6,2,2,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,1,1,2,1,,0,0,4,4,4,4,4,1,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,153298009,1.029960998,1,29,2,3,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,1,1,2,,,,,,,,,,,2,,,2,1,1,2,1,,2,2,,1,1,1,1,2,4,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,1,,2,,,,,,1,1,1,3,2,1,,1,1,4,2,4,4,2,5,1,2,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,156780041,1.423830374,2,48,2,4,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,1,1,2,2,1,2,2,1,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,6,1,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,3,2,2,1,,2,2,2,3,1,1,,1,0,4,4,4,2,4,5,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,155318625,0.262903121,1,19,2,5,2,,1,1,0,,,1,1,1,2,1,2,,,,2,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,2,1,,1,1,1,2,2,,2,2,,2,2,2,2,,2,2,3,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,3,2,3,1,2,,0,0,4,4,4,4,2,1,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,170819092,2.14529533,1,27,1,5,1,,1,1,1,2,2,1,1,1,2,1,2,,,,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,2,,2,2,2,,,,1,1,,2,2,2,2,,1,3,3,1,2,2,1,2,,,,1,2,2,,,1,1,2,1,1,,,2,2,2,,,,,2,,,,,,2,3,2,3,1,2,,1,0,1,4,4,4,2,2,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,203927606,0.257490249,1,27,3,5,2,,1,1,1,1,2,1,2,,1,2,2,,,,1,2,1,,,,,,1,2,,,,,,,,,,,,,,,,1,1,2,1,2,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,6,2,2,1,1,,,1,1,,,1,1,2,1,,,1,1,2,2,2,1,2,2,2,,,,,2,,,,,,1,1,2,3,2,1,,1,1,1,4,4,4,1,1,1,1,1,1
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,209322034,0.446280473,1,42,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,1,2,1,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,4,2,2,1,2,2,1,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,2,2,2,1,,1,1,4,4,4,2,4,1,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,150270314,0.756310091,1,25,2,3,1,,1,0,1,,,2,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,,,,,,,,,,,2,,,2,1,1,2,1,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,2,,,,,,1,2,2,1,,,2,2,2,,,,,2,,,,,,1,1,2,3,3,1,,0,0,1,4,4,4,4,5,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,202756619,0.297715727,1,28,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,1,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,3,2,1,1,2,2,1,1,2,2,1,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,1,2,2,2,1,,1,0,2,4,4,4,4,2,1,1,0,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,167158374,0.821138651,1,21,2,4,1,,1,1,0,,,1,1,2,2,2,2,,,,1,2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,2,2,1,2,1,,1,2,,2,1,1,2,,3,1,1,1,1,,,1,1,,,1,1,2,1,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,1,1,,1,1,1,4,4,4,1,1,1,1,1,0
Philippines,PHL,East Asia & Pacific (excluding high income),76659992,137387738,0.175257792,1,24,3,4,1,,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,1,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,1,3,2,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,1,1,1,1,2,,1,0,2,4,4,4,4,5,1,1,0,0
